th01,th02,th03,th04,th11,th12,th13,th14,th21,th22,th23,th24,th31,th32,th33,th34,th41,th42,th43,th44,?
6.3299600924191916E-6,1.0471785616081781,1.570792672155036,3.141589488594104,6.329960525193021E-6,1.0471785616084668,1.570792670572291,3.142589488594682,6.329961821141534E-6,1.047178561609328,1.5707926689890492,3.1435894885964033,6.329963980264455E-6,1.0471785616107676,1.5707926674053165,3.1445894885992796,6.329967002561429E-6,1.0471785616127802,1.5707926658210964,3.1455894886033064,
2.5258075275276393E-5,1.0471217816330831,1.570781743468523,3.141580024299871,2.5258077016344322E-5,1.0471217816342286,1.570781737152897,3.1425800243021365,2.5258082201669097E-5,1.0471217816376681,1.570781730835291,3.143580024308988,2.5258090831249468E-5,1.0471217816434073,1.5707817245157263,3.144580024320437,2.525810290508416E-5,1.0471217816514395,1.570781718194212,3.145580024336486,
5.678799995111022E-5,1.047027210788356,1.5707635373471769,3.1415642583134504,5.6788003918780426E-5,1.047027210790925,1.5707635231473567,3.142564258318454,5.6788015630136914E-5,1.0470272107986511,1.570763508943089,3.1435642583337753,5.678803508517695E-5,1.0470272108115468,1.5707634947344125,3.144564258359423,5.678806228389779E-5,1.0470272108296015,1.5707634805213548,3.1455642583954067,
1.0092582380493802E-4,1.0468948482678857,1.570738048144273,3.1415421866456956,1.0092583098888254E-4,1.0468948482724316,1.570738022906982,3.1425421866543615,1.0092585193502303E-4,1.046894848286147,1.570737997661791,3.143542186681368,1.0092588664335505E-4,1.0468948483090477,1.5707379724087613,3.144542186726724,1.0092593511387368E-4,1.0468948483411182,1.5707379471479408,3.145542186790443,
1.5768007159538456E-4,1.0467246929418783,1.5707052679522926,3.14151380371154,1.5768008308532673E-4,1.0467246929489435,1.5707052285215097,3.1425138037246247,1.5768011607608177E-4,1.0467246929703367,1.570705189078387,3.143513803766364,1.5768017056764196E-4,1.0467246930060765,1.5707051496230118,3.1445138038367753,1.5768024656000106E-4,1.0467246930561465,1.5707051101554654,3.1455138039358705,
2.2706170286241898E-4,1.046516743356033,1.570665186599654,3.1414791023292015,2.2706171987697834E-4,1.046516743366139,1.5706651298158274,3.1424791023472367,2.2706176785239357E-4,1.046516743396881,1.5706650730142322,3.143479102406542,2.2706184678865322E-4,1.0465167434482836,1.5706650161949838,3.144479102507143,2.2706195668574988E-4,1.0465167435203226,1.5706649593582098,3.1454791026490443,
3.090841115514647E-4,1.0462709977304743,1.5706177916464885,3.1414380737191094,3.090841354672029E-4,1.0462709977441251,1.5706177143457511,3.142438073742365,3.090842015268789E-4,1.04627099778587,1.5706176370208196,3.1434380738218075,3.090843097304769E-4,1.0462709978557352,1.570617559671855,3.1444380739574664,3.090844600779891E-4,1.046270997953698,1.5706174822990278,3.1454380741493457,
4.037631255535773E-4,1.0459874539584666,1.5705630683794813,3.1413907075026173,4.037631579342903E-4,1.0459874539761367,1.5705629673928612,3.142390707531042,4.037632453669691E-4,1.0459874540305123,1.5705628663746278,3.1433907076328795,4.037633878515925E-4,1.045987454121623,1.5705627653249912,3.144390707808157,4.0376358538815203E-4,1.0459874542494425,1.570562664244174,3.1453907080568806,
5.111170061613085E-4,1.045666109604883,1.5705009998057562,3.141336991700464,5.111170487876152E-4,1.0456661096270177,1.5705008719583922,3.142336991733645,5.111171611010581E-4,1.0456661096956295,1.5705007440709995,3.143336991859772,5.111173431016133E-4,1.0456661098107398,1.5705006161438428,3.144336992078871,5.111175947892718E-4,1.0456661099723266,1.570500488177201,3.1453369923909493,
6.311664474398024E-4,1.0453069619044548,1.5704315666458266,3.1412769127310023,6.311665023390656E-4,1.045306961931469,1.5704314087561837,3.1422769127681076,6.311666432902718E-4,1.0453069620158848,1.570431250817091,3.1432769129199998,6.311668702933991E-4,1.0453069621577238,1.570431092828882,3.144276913186717,6.311671833484357E-4,1.045306962356961,1.570430934791897,3.145276913568262,
